Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95610,BUS,447,Business Ethics,CER,LEC,T90,3,TH,10:30 AM,1:20 PM,A116,In Ki Joo
95453,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,,Jaeyeong Lee
95597,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,,Chih-mao Hsieh
95598,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,,Jeehong Kim
95602,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T94,3,APPT,1:00 AM,1:00 AM,,Joung Hwa Choi
95646,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Young-Won Ha
96677,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T97,3,APPT,1:00 AM,1:00 AM,,Dae Ryun Chang
96678,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T98,3,APPT,1:00 AM,1:00 AM,,Sunghee Kim
96683,BUS,476,Undergrad Teachng Practicum II,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,,Chih-mao Hsieh
95446,BUS,488,Internship,EXP+,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,Jeehong Kim
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95403,CSE,101,Computer Science Principles,TECH,LEC,90,3,TUTH,10:30 AM,11:50 AM,C107,Byungkon Kang
95404,CSE,101,Computer Science Principles,TECH,LAB,L90,LABM,10:30 AM,11:50 AM,C107,Byungkon Kang,
95405,CSE,114,Intro to Object-Oriented Prog,TECH,LEC,90,4,MW,10:30 AM,11:50 AM,C103,Antonino Mione
95406,CSE,114,Intro to Object-Oriented Prog,TECH,LAB,L90,TUTH,2:00 PM,3:20 PM,C103,Antonino Mione,
95407,CSE,214,Data Structures,,LEC,90,4,TUTH,2:00 PM,3:20 PM,C105,Byungkon Kang
95408,CSE,214,Data Structures,,REC,R90,RECW,2:00 PM,2:55 PM,C105,Byungkon Kang,
95409,CSE,215,Foundations of Comp Science,,LEC,90,4,TUTH,12:30 PM,1:50 PM,B204,Zhoulai Fu
95410,CSE,215,Foundations of Comp Science,,REC,R90,RECW,3:30 PM,4:25 PM,B203,Zhoulai Fu,
95570,CSE,216,Programming Abstractions,,LEC,90,4,TUTH,5:00 PM,6:20 PM,B203,YoungMin Kwon
95571,CSE,216,Programming Abstractions,,REC,R90,RECW,2:00 PM,2:55 PM,A704,YoungMin Kwon,
95411,CSE,220,Systems Fundamentals I,,LEC,90,4,TUTH,10:30 AM,11:50 AM,B203,AMOS OMONDI
95412,CSE,220,Systems Fundamentals I,,REC,R90,RECM,12:30 PM,1:25 PM,B203,AMOS OMONDI,
95500,CSE,300,Technical Communications,SPK; WRTD,LEC,90,3,MW,3:30 PM,4:50 PM,B205,Christopher Houghton
95546,CSE,303,Intro to Theory of Computation,,LEC,90,3,TUTH,3:30 PM,4:50 PM,A312,AMOS OMONDI
95442,CSE,310,Computer Networks,,LEC,90,3,MW,10:30 AM,11:50 AM,A704,Jihoon Ryoo
95573,CSE,316,Software Development,,LEC,90,3,MW,2:00 PM,3:20 PM,B204,Antonino Mione
95543,CSE,320,Systems Fundamentals II,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B103,YoungMin Kwon
96333,CSE,331,Computer Security Fundamentals,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B204,Antonino Mione
95467,CSE,352,Artificial Intelligence,,LEC,90,3,MW,2:00 PM,3:20 PM,B314,Seung Soo Park
95413,CSE,373,Analysis of Algorithms,,LEC,90,3,MW,9:00 AM,10:20 AM,B203,Jihoon Ryoo
95572,CSE,416,Software Engineering,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B203,Arthur Lee
95443,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Arthur Lee
95539,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,,Antonino Mione
95540,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,,Alexander Kuhn
95549,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,,YoungMin Kwon
95550,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T94,3,APPT,1:00 AM,1:00 AM,,Jihoon Ryoo
95551,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T95,3,APPT,1:00 AM,1:00 AM,,Byungkon Kang
95552,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T96,3,APPT,1:00 AM,1:00 AM,,Zhoulai Fu
95553,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T97,3,APPT,1:00 AM,1:00 AM,,AMOS OMONDI
95554,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T98,3,APPT,1:00 AM,1:00 AM,,TBA
